country,pop,whpw,isr10,iu,munemployment,popdens,vac,adi,wbdhe,arppc,albsoap,albwsoap,cm,c02,demox,funemployment,gdp,povrate,lex
Bulgaria,7.02M,39.9,32.6,64.8,5.35,64.8,6.9,26.5,7.33,,86.0,99.2,7.06,5.7,70.3,4.56,22.2k,8.36,73.3
Burkina Faso,20.4M,,35.3,8.5,4.29,74.7,2.9,4.28,5.0057807,58.1,22.3,49.5,76.4,0.279,47.5,4.04,2050,86.8,61.3
Burundi,11.9M,,,4.0,,457,0.7,2.06,7.29396152,38.1,45.8,61.5,58.5,0.047,23.3,,740,96.4,63.4
Cabo Verde,,,,,,,,,4.73804712,,,,,,,,,,
Cambodia,16.3M,,,,,89.9,0.5,5.51,6.06630135,48.1,63.7,74.4,28.0,2.14,35.9,,4220,77.8,69.7
Cameroon,24.8M,,,29.7,,53.2,1.8,6.08,3.61970162,47,42.2,67.5,76.1,0.411,32.8,,3740,74.0,62.6
Canada,37.3M,35.7,24.4,94.6,4.97,4.1,5.4,65.7,10.90542507,,98.8,99.2,4.97,14.3,91.5,4.88,48.8k,0.83,82.2
Cape Verde,513k,,,59.5,10.8,127,,10.4,,164,76.7,88.0,19.5,1.16,78.8,9.15,7490,47.4,73.5
Caribbean small states,,,,,,,,,5.64682621597428,,,,,,,,,,
Cayman Islands,,,,,,274,,,,,83.4,95.6,,,,,,,
Central African Republic,4.88M,,,5.1,,7.83,,2.4,10.99657822,131,14.8,39.2,116.0,0.065,15.2,,854,95.3,51.5
Central Europe and the Baltics,,,,,,,,,6.55263135280616,,,,,,,,,,
Chad,16.2M,,29.7,7.0,1.43,12.8,4.3,3.81,4.56768799,54.2,12.1,49.8,119.0,0.066,16.1,0.93,1560,88.7,59.9
Channel Islands,,,,,,,,,,,,,,,,,,,
Chile,18.9M,37.3,,84.9,6.37,25.1,4.0,25.2,9.22575188,,100.0,100.0,7.19,4.91,79.7,7.54,25.2k,7.7,80.1
China,1.42B,,29.4,59.2,,148,1.9,13.4,5.16790485,−0.503,89.7,94.7,8.6,6.76,33.2,,15.1k,28.0,77.4
Colombia,49M,42.1,39.7,64.1,5.7,43.6,0.6,15.5,7.62541437,36.3,91.3,96.7,14.2,2.19,69.6,10.3,14.4k,33.9,80.1
Comoros,772k,,,,,415,1.3,6.65,4.90318584,118,35.9,80.2,67.5,0.263,37.1,,3290,68.2,68.5
"Congo, Dem. Rep.",90M,,,11.7,,39.7,,2.36,3.24127173,27.9,16.7,35.8,88.1,0.024,14.9,,1050,97.1,64.7
"Congo, Rep.",5.48M,,,,,16.1,2.2,3.53,1.8976357,26.7,20.3,73.4,50.1,0.617,33.1,,3620,87.7,65.0
Cook Is,,,,,,69.2,,,,,,,,,,,,,
Costa Rica,4.96M,40.8,36.3,73.5,5.88,97.1,1.0,25.6,7.28587723,20.1,97.7,99.8,8.79,2.55,80.7,9.85,20.5k,14.6,80.0
Cote d'Ivoire,27.5M,,29.0,37.5,,86.4,1.5,5.66,3.0916779,35,33.9,72.5,80.9,0.582,41.5,,4980,77.0,63.6
Croatia,4.02M,38.6,22.7,75.3,6.98,72,4.4,27.4,6.75,,96.1,,4.67,5.82,65.7,8.42,28.2k,3.05,78.6
Cuba,11.2M,,,62.7,,105,,12.2,11.0184288,66.8,90.2,94.0,4.98,2.53,30.0,,9460,44.5,78.3
Curacao,,,,,,,,,,,,,,,,,,,
Curaçao,,36.6,,,10.4,428,,,,,,,,,,15.5,,,
Cyprus,1.27M,38.2,27.2,84.4,7.01,138,6.0,51.2,6.83,,99.4,99.8,2.38,6.45,75.9,8.57,38.5k,0.19,80.8
Czech Republic,10.5M,39.0,21.5,80.7,1.52,137,3.0,37.6,,,99.1,99.9,3.37,10.7,76.9,2.66,39.9k,0.28,79.3
Czechia,,,,,,,,,7.47048092,,,,,,,,,,
Denmark,5.79M,34.4,23.5,97.3,4.13,137,2.4,62.7,10.1,,99.6,100.0,4.22,8.67,92.2,4.93,55.4k,0.27,81.1
Djibouti,1.07M,,,58.0,,46.2,,5.61,2.33968735,167,65.3,75.9,59.3,0.672,28.7,,4600,75.7,66.7
Dominica,68.2k,,,,,90.9,,12.4,6.18495989,395,,,35.7,2.55,,,11.8k,27.1,72.3
Dominican Republic,10.8M,39.5,35.1,74.8,2.52,223,0.1,16.2,4.12601566,8.28,86.7,96.0,28.9,2.94,65.4,7.5,17.5k,22.0,72.9
Early-demographic dividend,,,,,,,,,4.72454960531751,,,,,,,,,,
East Asia & Pacific,,,,,,,,,6.55661658936978,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,4.91870660654421,,,,,,,,,,
East Asia & Pacific (excluding high income),,,,,,,,,4.91852013260138,,,,,,,,,,
Ecuador,17M,37.4,34.4,57.5,2.41,68.6,0.9,15.7,7.82609653,23.7,89.1,94.7,14.2,2.64,62.7,4.05,11.2k,28.1,76.2
Egypt,106M,45.5,,46.9,5.24,106,0.3,6.53,,19.7,96.9,98.8,21.2,2.32,33.6,16.3,11.4k,71.7,70.7
"Egypt, Arab Rep.",,,,,,,,,4.74892998,,,,,,,,,,
El Salvador,6.22M,42.1,29.4,43.8,3.59,300,0.8,11.9,8.322752,40.8,86.5,97.4,13.7,1.41,59.6,2.6,8760,33.5,75.6
Equatorial Guinea,1.62M,,,,,57.6,,18.0,2.85223937,4.16,,,85.3,4.35,19.2,,17.5k,18.3,65.8
Eritrea,3.19M,,,5.3,,26.4,,2.88,4.12701797,26.4,,,41.9,0.215,23.7,,1720,92.5,63.4
Estonia,1.32M,38.1,22.4,89.4,4.22,30.4,5.7,38.9,6.6912818,,99.1,100.0,2.65,13.5,79.7,5.15,35.3k,1.13,77.9
Eswatini,1.17M,,,39.4,,67.3,1.4,5.79,6.62469387,104,63.6,69.4,54.4,1.06,30.3,,8130,77.0,57.8
Ethiopia,113M,,,15.9,,113,0.1,4.42,3.30371761,43.9,8.35,45.8,55.2,0.173,33.5,,2070,88.5,68.4
Euro area,,,,,,,,,10.1514408913057,,,,,,,,,,
Europe & Central Asia,,,,,,,,,9.24510954738445,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),,,,,,,,,5.36468243070596,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,4.81146278651862,,,,,,,,,,
European Union,,,,,,,,,9.8760534796719,,,,,,,,,,
Faeroe Islands,,,,,,36.8,,,,,,100.0,,,,,,,
Falkland Is (Malvinas),,,,,,0.289,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,
Fiji,917k,,,68.9,,50.2,,8.32,4.10572624,132,93.5,95.3,25.6,2.41,58.5,,13.3k,46.4,68.3
Finland,5.52M,35.9,22.6,88.9,6.03,18.2,1.7,57.8,9.05,,99.4,100.0,1.7,10.4,91.4,6.06,48.1k,0.21,81.8
Fragile and conflict affected situations,,,,,,,,,4.44307292482339,,,,,,,,,,
France,65.5M,36.4,26.7,82.0,7.75,119,9.8,59.6,11.20798969,,98.6,100.0,4.04,6.62,78.0,8.44,45.3k,0.14,82.9
French Guiana,,,,,,3.42,,,,,,,,,,,,,
French Polynesia,,,,,,76,,,,,97.1,100.0,,,,,,,
Gabon,2.21M,,,59.6,,8.59,2.6,12.1,2.74500418,52.9,49.5,85.6,44.8,2.53,36.1,,14.3k,33.2,67.5
Gambia,2.4M,49.8,,28.3,7.27,237,2.8,5.09,,97.6,47.0,83.3,58.4,0.268,43.1,7.92,1990,79.5,66.4
"Gambia, The",,,,,,,,,3.34384227,,,,,,,,,,
Georgia,3.79M,37.6,27.5,62.7,14.4,54.6,3.6,7.97,7.11,158,86.6,94.2,9.81,3.31,55.0,12.6,14.1k,53.8,73.3
Germany,83.4M,35.2,24.9,87.0,3.63,239,4.3,64.8,11.48051548,,99.2,100.0,3.66,10.6,86.8,2.78,53.2k,0.35,81.2
Ghana,30.6M,,,43.0,,135,2.8,5.59,3.80673027,34.8,23.8,84.2,47.9,0.698,66.3,,5140,76.1,65.8
Gibraltar,,,,,,3490,,,,,100.0,100.0,,,,,,,
Greece,10.7M,40.9,24.9,72.2,14.6,82,1.7,26.8,8.12024307,,99.0,100.0,4.45,5.49,72.9,24.1,29.1k,3.69,81.0
Greenland,,,,,,0.137,,,,,62.5,100.0,,,,,,,
Grenada,116k,,33.7,61.4,,340,,15.6,4.58373737,274,,,15.2,2.43,,,15.4k,14.2,73.2
Guadeloupe,,,,,,255,,,,,,,,,,,,,
Guam,,,,,,301,,,,,90.1,99.7,,,,,,,
Guatemala,16.8M,,,41.5,1.53,157,0.8,10.0,6.10662699,23.7,67.9,93.1,26.2,1.38,56.0,1.66,8470,52.1,72.4
Guernsey,,,,,,975,,,,,,,,,,,,,
Guinea,12.7M,,23.1,21.8,,51.7,3.6,4.4,3.73843002,51.5,26.4,66.4,101.0,0.446,31.4,,2470,85.9,60.6
Guinea-Bissau,1.92M,,27.6,15.7,,68.4,,4.21,7.28130722,79.9,23.6,61.2,81.5,0.181,19.8,,1740,87.3,60.3
Guyana,792k,,,51.1,10.0,4.02,,14.1,4.90492535,132,88.5,94.6,30.1,3.12,66.7,11.7,12.4k,29.3,67.1
Haiti,11M,,,32.5,,398,1.7,4.1,4.31650305,92.8,35.8,65.9,64.8,0.27,49.1,,3210,84.1,63.5
Heavily indebted poor countries (HIPC),,,,,,,,,4.65934043028544,,,,,,,,,,
High income,,,,,,,,,12.0597212933827,,,,,,,,,,
Holy See,,,,,,1240,,,,,,,19.1,,,,,,
Honduras,9.77M,39.2,35.3,36.0,3.59,89.5,0.3,10.0,7.22820663,68.1,81.1,94.2,17.6,0.811,56.3,5.48,5560,50.9,71.9
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,
"Hong Kong, China",7.47M,,,90.5,2.81,6800,,63.6,,,96.5,100.0,2.08,11.3,61.5,2.03,61k,1.64,85.3
Hungary,9.77M,38.2,23.2,76.1,3.13,108,1.3,25.9,6.58,,98.0,100.0,4.27,6.83,66.3,3.68,31.1k,3.22,76.3
IBRD only,,,,,,,,,5.39789144927129,,,,,,,,,,
IDA & IBRD total,,,,,,,,,5.27601005117538,,,,,,,,,,
IDA blend,,,,,,,,,3.28806911030286,,,,,,,,,,
IDA only,,,,,,,,,4.04456624551151,,,,,,,,,,
IDA total,,,,,,,,,3.69974594861157,,,,,,,,,,
Iceland,353k,39.5,,99.0,2.22,3.52,0.9,64.3,8.38,,98.8,100.0,1.96,10.8,95.8,1.92,56.2k,0.07,84.0
India,1.37B,48.1,28.4,20.1,2.78,462,1.4,4.95,2.86,1.79,66.7,91.0,36.6,1.77,72.3,3.14,6400,83.0,70.5
Indonesia,270M,38.2,28.5,39.9,2.7,141,3.0,7.28,2.86757827,3.57,79.8,91.0,25.0,2.28,63.9,2.25,11.4k,64.3,71.1
Iran,86.1M,43.2,29.1,70.2,9.53,52.9,1.7,16.0,,1.93,89.7,97.2,14.4,6.91,24.5,17.4,14.7k,23.9,77.6
"Iran, Islamic Rep.",,,,,,,,,7.73915195,,,,,,,,,,
Iraq,40.3M,,,33.9,,92.8,2.9,12.2,4.12989378,57.1,97.0,96.9,26.7,5.32,40.6,,10k,21.4,73.3
Ireland,4.87M,36.6,25.1,87.0,4.74,71.3,3.9,54.1,6.49550152,,89.3,96.0,3.66,10.4,91.5,4.92,82.2k,0.11,82.0
Isle of Man,,,,,,147,,,,,100.0,99.3,,,,,,,
Israel,8.51M,36.0,27.2,83.7,3.57,393,0.9,41.0,7.23,,99.9,100.0,3.73,9.68,77.9,3.62,40.3k,3.53,83.0
Italy,60.3M,36.9,25.9,74.4,9.18,204,8.2,48.0,8.68,,99.9,99.9,3.03,7.49,77.1,11.9,41.5k,2.48,83.1
Jamaica,2.82M,,27.6,68.2,4.74,260,,15.3,5.96798849,35.6,86.5,90.9,14.4,2.6,70.2,9.87,10.2k,8.87,76.3
Japan,127M,38.1,,88.7,2.53,337,4.7,52.5,10.74,,99.9,99.0,2.49,10.1,79.9,2.41,41.5k,1.5,84.8
Jersey,,,,,,884,,,,,,,,,,,,,
Jordan,10.5M,46.6,,65.2,12.7,118,1.0,13.7,6.98295021,241,97.3,98.9,16.1,2.96,39.3,18.6,9400,13.8,77.9
Kazakhstan,18.9M,,23.4,78.9,,7.01,3.7,12.4,2.82,4.22,97.9,95.4,9.91,9.78,29.4,,25.8k,14.7,71.7
Kenya,50.2M,,,19.5,,86.5,1.3,3.78,4.09903383,49.6,34.9,60.2,41.1,0.538,51.1,,4460,87.5,66.1
Kiribati,122k,,,33.0,,168,,6.19,12.97,656,43.7,73.2,52.5,0.601,,,1900,66.7,59.3
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,7.49119806,,,,,,,,,,
Kosovo,,43.4,,89.4,27.1,162,,,,192,,,,,,28.1,,,
Kuwait,4.32M,,,99.6,,243,2.2,49.8,5.18862629,,100.0,100.0,7.85,22.2,38.5,,46k,0.15,81.6
Kyrgyz Republic,6.34M,38.0,23.6,62.8,3.68,33.1,4.4,6.69,5.01,68.1,97.7,89.4,18.9,3.22,51.1,3.97,5160,64.5,73.3
Lao,7.13M,,31.2,36.3,,30.9,0.2,6.52,,82.6,76.9,83.3,47.3,3.12,23.7,,7550,70.2,68.6
Lao PDR,,,,,,,,,2.24630332,,,,,,,,,,
Late-demographic dividend,,,,,,,,,5.62427027060397,,,,,,,,,,
Latin America & Caribbean,,,,,,,,,7.96817517522515,,,,,,,,,,
Latin America & Caribbean (excluding high income),,,,,,,,,7.89788005153417,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,,7.91468069145123,,,,,,,,,,
Latvia,1.93M,38.9,26.9,83.6,8.14,31,5.9,31.7,6.19,,92.4,98.7,3.86,8.33,73.8,6.14,30.3k,3.34,75.8
Least developed countries: UN classification,,,,,,,,,3.8619793402416,,,,,,,,,,
Lebanon,5.98M,,,80.9,,585,0.2,28.8,8.07092381,238,97.9,92.3,7.44,3.54,46.3,,17.9k,1.87,76.2
Lesotho,2.18M,,,40.8,,71.9,,4.52,11.114995,70.4,46.5,72.5,81.1,1.26,66.4,,2560,80.2,51.4
Liberia,4.94M,,,18.9,,51.3,2.0,3.87,10.35222721,120,20.2,73.7,70.9,0.324,53.5,,1520,88.1,65.7
Libya,6.85M,,,,,4.09,5.7,25.4,,44.3,92.1,99.9,12.0,8.1,21.9,,21.2k,9.34,75.7
Liechtenstein,38.1k,,,,,238,,,,,100.0,100.0,6.19,4.03,,,,,83.2
Lithuania,2.8M,38.5,27.1,79.7,6.39,44.8,4.2,34.9,6.53,,93.3,98.0,4.04,8.04,75.0,4.69,35.3k,3.28,76.1
Low & middle income,,,,,,,,,5.20540513504954,,,,,,,,,,
Low income,,,,,,,,,5.01565467322642,,,,,,,,,,
Lower middle income,,,,,,,,,3.47632477153126,,,,,,,,,,
Luxembourg,608k,37.8,26.6,97.1,4.52,235,4.6,83.9,5.28,,97.6,99.9,2.42,15.7,88.1,5.64,111k,0.68,82.9
"Macao SAR, China",,,,,,,,,,,,,,,,,,,
"Macao, China",,,,83.8,1.91,20.6k,,,,,100.0,100.0,,,,1.2,,,
Madagascar,27.5M,,,8.7,,47.3,2.3,1.65,4.22846937,27.5,12.6,50.4,53.6,0.191,52.2,,1560,97.8,65.1
Malawi,18.5M,,,8.0,,196,0.9,2.2,6.87366676,69,40.6,68.7,49.7,0.137,54.9,,1480,96.8,64.1
Malaysia,32.9M,45.0,31.2,81.2,1.77,100,3.1,32.8,3.75944281,−1.05,95.8,97.1,7.78,7.67,68.8,1.84,26.8k,4.17,75.2
Maldives,473k,,,70.9,,1580,,18.9,7.44,278,97.2,99.5,8.62,2.96,,,20.2k,3.37,79.0
Mali,20.4M,42.3,28.1,21.4,1.71,16.8,2.2,4.93,3.73249912,76.2,43.0,77.8,97.8,0.187,54.1,1.5,2190,82.6,61.2
Malta,485k,38.0,22.9,81.7,2.96,1540,2.0,50.1,8.55,,100.0,100.0,7.02,21.0,82.1,2.83,44k,0.32,82.5
Marshall Islands,45.3k,,,,,252,,10.1,15.26284122,1200,81.8,85.9,33.1,2.58,,,5030,36.5,65.3
Martinique,,,,,,343,,,,,,,,,,,,,
Mauritania,4.34M,,,35.1,,4.21,1.8,6.74,3.17838526,103,47.5,70.8,75.7,0.605,38.2,,5540,65.4,70.5
Mauritius,1.29M,35.1,,58.6,2.54,635,1.7,17.2,5.63982916,54.7,,99.9,15.5,4.56,82.2,7.14,23k,12.8,75.3
Mayotte,,,,,,719,,,,,,,,,,,,,
Mexico,125M,42.0,36.6,56.7,2.71,63.6,1.0,14.7,5.38345814,4.41,90.2,98.8,12.7,4.22,61.9,2.98,20.2k,29.0,75.5
"Micronesia, Fed. Sts.",110k,,,36.6,,157,,5.77,11.65710258,899,90.5,90.1,30.8,1.34,,,3220,71.8,64.1
Middle East & North Africa,,,,,,,,,5.46954496129707,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),,,,,,,,,6.01773136979651,,,,,,,,,,
Middle East & North Africa (excluding high income),,,,,,,,,6.01773136979651,,,,,,,,,,
Middle income,,,,,,,,,5.20764459893277,,,,,,,,,,
Moldova,3.15M,37.5,21.9,50.3,5.11,95.9,6.9,11.9,6.71,95.9,82.3,90.3,15.8,1.27,58.5,3.0,12.1k,15.2,74.0
Monaco,38.2k,,,,,25.6k,,70.8,4.03953457,,100.0,100.0,3.21,,,,204k,,79.9
Mongolia,3.17M,50.0,25.7,47.1,4.86,2.03,4.3,9.86,4.53449297,104,66.5,80.8,16.3,12.8,65.0,3.97,12.1k,38.5,68.0
Montenegro,616k,43.3,26.0,71.5,14.7,44.6,6.9,17.0,8.34,251,97.2,98.5,2.55,3.2,57.4,15.8,20.7k,18.6,75.6
Montserrat,,,,,,44.4,,,,,,,,,,,,,
Morocco,35.8M,,,64.8,,80.3,1.7,11.6,4.94516659,22.8,85.4,84.0,22.4,1.86,49.9,,8060,37.8,73.1
Mozambique,29M,,,10.9,,36.9,1.0,2.24,8.0889616,62.8,31.9,55.4,73.2,0.442,38.5,,1290,94.7,57.9
Myanmar,52.3M,45.6,,33.7,0.58,80,0.7,6.95,4.9,32.7,72.7,77.1,46.2,0.491,38.3,0.85,4830,65.3,69.1
Namibia,2.58M,43.1,,42.8,19.8,3.13,4.4,11.1,8.31648731,61.9,34.7,84.4,39.6,3.78,62.5,17.7,10.3k,57.4,64.7
Nauru,11.5k,,,,,574,,7.56,11.10239792,3270,65.9,97.0,31.8,4.71,,,9710,61.7,63.2
Nepal,28.1M,,,28.6,,191,1.0,7.2,4.53,51.7,69.2,89.8,32.2,0.94,51.8,,3720,51.5,70.8
Netherlands,17.4M,32.2,23.0,91.9,2.64,517,5.7,60.4,10.02,,97.7,100.0,3.87,9.8,88.9,3.02,55.4k,0.39,81.7
Netherlands Antilles,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,15.5,,,,,100.0,98.8,,,,,,,
New Zealand,4.9M,33.0,,89.0,2.79,18.5,5.6,43.3,9.0351162,,100.0,100.0,5.7,7.97,92.6,3.83,43.1k,0.12,81.8
Nicaragua,6.4M,,,37.6,,53.2,0.4,12.3,8.4993515,55.3,72.9,81.5,18.3,1.05,36.3,,5640,39.4,75.2
Niger,22.2M,,31.1,,,17.5,4.2,2.85,5.30310822,59,14.3,47.0,83.7,0.103,37.6,,1190,94.9,62.0
Nigeria,205M,,26.7,27.7,,225,3.2,3.66,3.09069347,16.1,42.2,73.1,120.0,0.506,44.4,,5090,90.0,63.8
Niue,,,,,,6.87,,,,,,,,,,,,,
North America,,,,,,,,,16.1883866378522,,,,,,,,,,
North Korea,25.9M,,,,,215,,4.43,,4.65,83.9,94.2,18.2,1.18,10.8,,1910,90.0,72.9
North Macedonia,1.92M,41.9,22.9,79.2,19.1,77.1,6.5,13.7,6.46,90.2,97.3,97.7,9.9,3.49,58.7,18.7,15.7k,21.6,74.3
Northern Mariana Islands,,,,,,107,,,,,79.5,100.0,,,,,,,
Norway,5.31M,34.2,22.2,96.5,3.58,17.5,1.9,72.1,9.96,,98.1,100.0,2.54,9.32,98.7,3.22,64.7k,0.47,82.8
Not classified,,,,,,,,,,,,,,,,,,,
OECD members,,,,,,,,,12.3210985157721,,,,,,,,,,
Oman,4.6M,,,85.5,,14.9,,33.9,3.21469474,,99.3,91.5,11.4,13.6,30.4,,34.2k,1.73,73.6
Other small states,,,,,,,,,6.1144881669079,,,,,,,,,,
Pacific island small states,,,,,,,,,5.1524870642468,,,,,,,,,,
Pakistan,227M,46.8,25.5,15.3,2.26,294,2.0,4.98,2.82844949,6.11,63.7,90.0,69.3,1.03,41.7,3.19,5110,83.5,65.5
Palau,17.8k,,,,,38.7,,18.3,12.85856915,4750,98.0,99.5,17.9,13.2,,,17.4k,14.1,67.4
Palestine,4.85M,39.2,,64.4,18.6,806,0.0,13.6,,503,97.7,97.3,20.3,0.661,43.9,37.5,6320,21.4,74.7
Panama,4.17M,36.8,37.1,61.8,2.53,56.2,1.6,32.4,7.87820292,9.39,82.2,93.9,15.3,4.13,70.5,4.03,32.3k,13.1,79.9
Papua New Guinea,9.39M,,,,,20.7,,4.35,2.30051899,84.1,19.1,46.0,47.8,0.911,60.3,,3900,86.1,64.4
Paraguay,6.43M,39.6,35.8,65.0,3.3,15.9,1.7,19.2,6.74497652,25.6,90.7,99.5,20.1,1.97,62.4,5.25,13.8k,20.5,76.5
Peru,31.9M,38.4,31.6,55.1,2.18,24.9,3.1,13.6,5.15967131,14.1,76.1,92.4,14.3,2.0,66.0,3.08,12.7k,30.8,80.0
Philippines,109M,41.8,33.5,44.1,1.55,365,5.1,8.16,3.95,5,80.1,93.2,28.4,1.61,67.1,1.91,8370,65.0,71.6
Poland,38.2M,39.6,24.0,77.5,3.23,125,4.1,26.1,6.31,,99.0,92.6,4.45,8.49,66.7,3.49,31.7k,4.2,78.0
Portugal,10.3M,38.5,26.6,74.7,5.58,112,1.0,33.0,9.41,,99.6,99.2,3.75,5.42,78.4,6.67,34.1k,2.31,81.7
Post-demographic dividend,,,,,,,,,12.7525208084822,,,,,,,,,,
Pre-demographic dividend,,,,,,,,,3.87418067155154,,,,,,,,,,
Puerto Rico,,,,70.9,,379,,,,,100.0,99.9,,,,,,,
Qatar,2.76M,,,99.7,,238,,105.0,2.96176219,,99.9,100.0,6.83,24.5,31.9,,91.4k,0.0,76.1
Reunion,,,,,,343,,,,,,,,,,,,,
Romania,19.6M,38.9,24.9,70.7,4.11,85.2,4.6,17.1,5.52,,85.7,100.0,7.28,4.5,63.8,2.86,28.8k,12.6,75.5
Russia,146M,37.9,26.3,80.9,4.14,8.94,9.5,27.5,,,88.5,96.7,7.18,9.27,29.4,4.19,26.7k,5.39,73.0
Russian Federation,,,,,,,,,5.36,,,,,,,,,,
Rwanda,12.5M,33.0,,19.2,12.1,516,0.6,3.32,6.69894743,89.7,69.9,61.4,35.3,0.15,33.5,15.8,2050,91.7,68.3
Samoa,208k,,,49.1,,73.4,,11.1,4.77439356,617,96.5,95.4,15.8,1.32,,,6140,39.2,70.4
San Marino,34.5k,,,,,566,,59.1,8.2778492,,100.0,100.0,1.96,,,,58.9k,,82.1
Sao Tome and Principe,210k,,,38.0,,219,,5.53,5.50957823,248,43.8,77.2,31.2,0.587,,,4010,78.0,70.7
